UID|GID|JobIDRaw|Group|Account|JobName|TimelimitRaw|Submit|Start|End|State|ExitCode|ReservationId|Reservation|Priority|Eligible|Constraints|SystemCPU|CPUTimeRAW|ElapsedRaw|Layout|NTasks|QOSREQ|QOS|Restarts|WorkDir|ConsumedEnergyRaw|FailedNode|AveDiskRead|AveDiskWrite|MaxDiskRead|MaxDiskWrite|Partition|Reason|Suspended|AllocNodes|AveRSS|MaxRSS|DerivedExitCode|AveVMSize|MaxVMSize|ReqMem|ReqNodes|NNodes|Planned|PlannedCPURAW|NCPUS|UserCPU|ReqCPUS|TotalCPU|TRESUsageInTot|TRESUsageOutTot|ReqTRES|AllocTRES|TRESUsageInMax|TRESUsageOutMax|Flags|Comment|SystemComment|AdminComment
||471.extern||testing|extern||2025-07-29T17:08:09|2025-07-29T17:08:09|2025-07-29T17:33:55|COMPLETED|0:0||||2025-07-29T17:08:09||00:00:00|395776|1546|Unknown|2|||||0||||||||00:00:00|2|||||||2|2|||256|00:00:00|256|00:00:00||||billing=256,cpu=256,node=2||||||
||471.0||testing|mpicatnap||2025-07-29T17:08:09|2025-07-29T17:08:09|2025-07-29T17:33:55|COMPLETED|0:0||||2025-07-29T17:08:09||00:00:00|197888|1546|Block|128|||||0||||||||00:00:00|2|||||||2|2|||128|00:00:00|128|00:00:00||||cpu=128,mem=0,node=2||||||
1004|1004|472|test_user5|testing|test_user5-o2MA|54|2025-07-29T17:08:05|2025-07-29T17:34:39|2025-07-29T18:15:34|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:05||00:00:00|628480|2455||||normal|0|/home/test_user5/stochsimsched|||||||batch-cpu|None|00:00:00|2|||0:0|||2M|2|2|00:26:34|204032|256|00:00:00|128|00:00:00|||billing=128,cpu=128,mem=2M,node=2|billing=256,cpu=256,node=2|||SchedBackfill,StartReceived|||
||472.batch||testing|batch||2025-07-29T17:34:39|2025-07-29T17:34:39|2025-07-29T18:15:34|COMPLETED|0:0||||2025-07-29T17:34:39||00:00:00|157120|2455|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||472.extern||testing|extern||2025-07-29T17:34:39|2025-07-29T17:34:39|2025-07-29T18:15:34|COMPLETED|0:0||||2025-07-29T17:34:39||00:00:00|628480|2455|Unknown|2|||||0||||||||00:00:00|2|||||||2|2|||256|00:00:00|256|00:00:00||||billing=256,cpu=256,node=2||||||
||472.0||testing|mpicatnap||2025-07-29T17:34:40|2025-07-29T17:34:40|2025-07-29T18:15:34|COMPLETED|0:0||||2025-07-29T17:34:40||00:00:00|314112|2454|Block|128|||||0||||||||00:00:00|2|||||||2|2|||128|00:00:00|128|00:00:00||||cpu=128,mem=0,node=2||||||
1007|1007|473|test_user8|testing|test_user8-lRgv|58|2025-07-29T17:08:05|2025-07-29T20:26:12|2025-07-29T20:52:37|COMPLETED|0:0|1|system_testing|86400|2025-07-29T17:08:06||00:00:00|1623040|1585||||normal|0|/home/test_user8/stochsimsched|||||||batch-cpu|None|00:00:00|8|||0:0|||8M|8|8|03:18:06|6085632|1024|00:00:00|512|00:00:00|||billing=512,cpu=512,mem=8M,node=8|billing=1024,cpu=1024,node=8|||SchedMain,StartReceived|||
||473.batch||testing|batch||2025-07-29T20:26:12|2025-07-29T20:26:12|2025-07-29T20:52:37|COMPLETED|0:0||||2025-07-29T20:26:12||00:00:00|101440|1585|Unknown|1|||||0||||||||00:00:00|1|||||||1|1|||64|00:00:00|64|00:00:00||||cpu=64,mem=0,node=1||||||
||473.extern||testing|extern||2025-07-29T20:26:12|2025-07-29T20:26:12|2025-07-29T20:52:37|COMPLETED|0:0||||2025-07-29T20:26:12||00:00:00|1623040|1585|Unknown|8|||||0||||||||00:00:00|8|||||||8|8|||1024|00:00:00|1024|00:00:00||||billing=1024,cpu=1024,node=8||||||
||473.0||testing|mpicatnap||2025-07-29T20:26:12|2025-07-29T20:26:12|2025-07-29T20:52:37|COMPLETED|0:0||||2025-07-29T20:26:12||00:00:00|811520|1585|Block|512|||||0||||||||00:00:00|8|||||||8|8|||512|00:00:00|512|00:00:00||||cpu=512,mem=0,node=8||||||
